,token,count
539,dad,4
540,attention,4
541,selections,4
542,currently,4
543,committee,4
544,drew,4
545,click,4
546,boeing,4
547,judiciary,4
548,sunday,4
549,mulvaney,4
550,angry,4
551,adults,4
552,making,4
553,henderson,4
554,surveyed,4
555,strategies,4
556,youtubers,4
557,planned,4
558,announced,4
559,hitching,4
560,read,4
561,bbc,4
562,may,4
563,european,4
564,neutrality,4
565,deal,4
566,budget,4
567,poland,4
568,bloc,4
569,transition,4
570,mechanism,4
571,commission,4
572,pledge,4
573,daughter,4
574,happy,4
575,since,4
576,becoming,4
577,sweden,4
578,began,4
579,williams,4
580,dr,4
581,rowan,4
582,challenge,4
583,believe,4
584,sinister,4
585,something,4
586,idea,4
587,myth,4
588,want,4
589,wednesday,4
590,nod,4
591,generation,4
592,surging,4
593,prominence,4
594,efforts,4
595,prevent,4
596,worst,4
597,irony,4
598,australian,4
599,couple,4
600,help,4
601,travelling,4
602,point,4
603,critical,4
604,thinking,4
605,argument,4
606,focus,4
607,power,4
608,topic,4
609,conversation,4
610,skill,4
611,rational,4
612,facts,4
613,energy,4
614,bushfires,4
615,attenborough,4
616,lives,4
617,unite,4
618,call,4
619,markets,4
620,final,4
621,official,4
622,bals,4
623,post,3
624,photo,3
625,traveller,3
626,lahren,3
627,clinton,3
628,hillary,3
629,woman,3
630,tomi,3
631,female,3
632,gender,3
633,backlash,3
634,pot,3
635,calling,3
636,kettle,3
637,blamed,3
638,oswalt,3
639,supporters,3
640,stupid,3
641,tweet,3
642,hole,3
643,response,3
644,patton,3
645,comedian,3
646,lashing,3
647,mocked,3
648,oh,3
649,came,3
650,company,3
651,class,3
652,floor,3
653,overcrowded,3
654,german,3
655,railway,3
656,friendly,3
657,rail,3
658,claimed,3
659,team,3
660,huckabee,3
661,witnesses,3
662,chuck,3
663,embarrassed,3
664,process,3
665,mike,3
666,demanding,3
667,testify,3
668,him.,3
669,debates,3
670,comey,3
671,refs,3
672,interview,3
673,spicer,3
674,shows,3
675,course,3
676,disagreed,3
677,pledges,3
678,due,3
679,deliver,3
680,ministers,3
681,book,3
682,waterstones,3
683,author,3
684,boy,3
685,mole,3
686,horse,3
687,award,3
688,small,3
689,difference,3
690,speeches,3
691,accolade,3
692,charlie,3
693,mackesy,3
694,friendship,3
695,prize,3
696,held,3
697,city,3
698,chilean,3
699,come,3
700,gather,3
701,demonstrators,3
702,gathering,3
703,hosts,3
704,tour,3
705,feature,3
706,dinosaur,3
707,humans,3
708,moon,3
709,mission,3
710,square,3
711,land,3
712,mining,3
713,victoria,3
714,gill,3
715,lunar,3
716,bio,3
717,changed,3
718,pirralha,3
719,local,3
720,three-week,3
721,voyage,3
722,arrived,3
723,port,3
724,quiet,3
725,australians,3
726,issues,3
727,diwakar,3
728,reed,3
729,six,3
730,journey,2
731,monday,2
732,shared,2
733,writing,2
734,fuel,2
735,aviation,2
736,technology,2
737,term,2
738,airbus,2
739,airlines,2
740,engine,2
741,commercial,2
742,ms.,2
743,hampton,2
744,sets,2
745,relocate,2
746,inbox,2
747,sign,2
748,fwd,2
749,email,2
750,newsletter,2
751,mocks,2
752,jabs,2
753,obsessed,2
754,girl,2
755,libraries,2
756,library,2
757,image,2
758,conspiracy,2
759,collection,2
760,definitely,2
761,original,2
762,photograph,2
763,washington,2
764,taken,2
765,hegg,2
766,gold,2
767,rush,2
768,policies,2
769,smoke,2
770,haze,2
771,concerns,2
772,federal,2
773,criticism,2
774,acknowledges,2
775,stands,2
776,prime,2
777,student,2
778,thoughts,2
779,prayers,2
780,lost,2
781,album,2
782,coldplay,2
783,promote,2
784,martin,2
785,release,2
786,gigs,2
787,british,2
788,band,2
789,sustainable,2
790,cobre,1
791,mural,1
792,paper,1
793,cans,1
794,art,1
795,reported,1
796,electric,1
797,san,1
798,francisco,1
799,spray,1
800,project,1
801,responded,1
802,stirs,1
803,controversy,1
804,paints,1
805,theories,1
806,lookalike,1
807,viral,1
808,ago,1
809,user,1
810,19th,1
811,century,1
812,sparks,1
813,far-flung,1
814,circa-1898,1
815,schwarzenegger,1
816,arnold,1
817,reportedly,1
818,errands,1
819,outspoken,1
820,recent,1
821,seen,1
822,driving,1
823,vehicle,1
824,monica,1
825,bike,1
826,actor-turned-climate,1
827,drives,1
828,'tank,1
829,run,1
830,climate-change,1
831,trudeau,1
832,promised,1
833,canadians,1
834,gun,1
835,payette,1
836,canada,1
837,canadian,1
838,liberals,1
839,throne,1
840,agenda,1
841,coming,1
842,concern,1
843,healthcare,1
844,clarkson,1
845,grand,1
846,gear,1
847,'d,1
848,trio,1
849,adds,1
