,score,source,citation
61,0.0,fox-news,“think about choices and all of the nuances involved in these decisions.”
62,20.23,fox-news,"“As important as it to change lightbulbs,”"
63,27.16,fox-news,“it is far more important to change the policies and laws in the nation and places where we live.”
64,0.0,fox-news,"“I’m not telling anyone else what to do or what not to do,”"
65,7.72,fox-news,“I want to put focus on the fact that you basically can’t live sustainable today. It’s practically impossible.”
66,0.0,fox-news,“all of this stuff is very small compared to flying.”
67,51.06,fox-news,"“There hasn’t been a single step I have taken that has not brought me a deeper appreciation for what we’re up against and what’s possible,”"
68,51.06,fox-news,“This gave me a profound appreciation for how individual action connects to collective action.”
69,0.0,fox-news,"“requires in-person interactions with attendees to get the vibe of the meeting and discussions,”"
70,0.0,fox-news,“Climate scientists and activists should walk the walk. But we can only walk so far. Then you bump into other things.”
71,0.0,fox-news,"“We need to keep taking to the streets, we need to defend Paris.”"
72,57.19,fox-news,"“I do think there is a reaction to a lot of the success of women and the roles of women right now,”"
73,-39.12,fox-news,"“and I think social media has lit that up, in a very destructive and toxic way. People may have thought a lot of things in the past but now it is amplified and it is viral.”"
74,0.0,fox-news,“beauty is in the eye of the beholder”
75,-54.23,fox-news,"“You do not even have to be convicted of a crime to lose your job in this constitutional republic if this body determines that your conduct as a public official is clearly out of bounds in your role,”"
76,86.34,fox-news,“|Impeachment is not about punishment. Impeachment is about cleansing of the office. Impeachment is about restoring honor and integrity to the office.”
77,-51.06,fox-news,“The day Richard Nixon failed to answer that subpoena is the day that he was subject to impeachment.”
78,0.0,fox-news,“secret”
79,0.0,fox-news,"“While the president can name his son Barron, he can’t make him a baron,”"
80,-83.13,fox-news,"“A minor child deserves privacy and should be kept out of politics. Pamela Karlan, you should be ashamed of your very angry and obviously biased public pandering, and using a child to do it.”"
81,27.82,fox-news,"“Here, Mr. Collins, I would like to say to you, sir, that I read transcripts of every one of the witnesses who appeared in the live hearing, because I would not speak about these things without reviewing the facts, so I’m insulted by the suggestion that as a law professor I don’t care about those facts.”"
82,0.0,fox-news,“want to set the record for fastest impeachment.”
83,0.0,fox-news,“a--holes.”
84,-81.76,fox-news,"“The President is a stupid a--hole and if you voted for him you’re a stupid a--hole and if you still support him you’re a stupid a--hole,”"
85,-77.24,fox-news,“Oh no this Tweet is going to make all the stupid a--holes not like me waaaaah.”
86,-52.42,fox-news,"“So ridiculous. Greta must work on her Anger Management problem, then go to a good old fashioned movie with a friend! Chill Greta, Chill!”"
87,0.0,fox-news,“presumptuous”
88,-29.6,fox-news,"“Oh no my career what have i done,”"
89,-52.67,fox-news,"“If you look at how Trump and his siblings were raised, what we’re seeing is the tail end of his having been hurt his whole life. His whole life since his childhood has been about vengeance and lashing out,”"
90,0.0,fox-news,“He also came along during a time when a lot of the neoliberal experiment had kind of turned on the people it pretended to be helping.”
91,0.0,fox-news,“friendly”
92,0.0,fox-news,“overcrowded trains through Germany.”
93,-10.27,fox-news,"“continue working hard on getting more trains, connections and seats.”"
94,0.0,fox-news,“overcrowded”
95,72.69,fox-news,"“It would have been even nicer if you had also reported how friendly and competently our team served you at your seat in first class,”"
96,-59.94,fox-news,"“…this is no problem of course and I never said it was,”"
97,59.83,fox-news,“Overcrowded trains is a great sign because it means the demand for train travel is high!”
98,0.0,fox-news,“against the wall.”
99,31.82,fox-news,"“We have to make sure that they cannot do that,”"
100,59.94,fox-news,"“We will make sure they, that we put them against the wall, and that they will have to do their job and to protect our futures.”"
101,-34.0,fox-news,“Yesterday I said we must hold our leaders accountable and unfortunately said 'put them against the wall'. That’s Swenglish: “att ställa någon mot väggen”
102,5.16,fox-news,"“That’s what happens when you improvise speeches in a second language. But of course I apologise if anyone misunderstood this,”"
103,-30.71,fox-news,“I can not enough express the fact that I - as well as the entire school strike movement- are against any possible form of violence. It goes without saying but I say it anyway.”
104,40.19,fox-news,"“I will be home for Christmas and then I will take a holiday break because you need to take a rest,”"
105,0.0,fox-news,“Otherwise you cannot do this all the time.”
106,40.19,fox-news,“I will be home for Christmas and then I will take a holiday break because you need to take a rest. Otherwise you cannot do this all the time.”
107,-58.59,fox-news,"“Adults are behaving as if there’s no tomorrow. But there’s a tomorrow. We have to fight for that tomorrow as if our lives depend on that, because they do.”"
108,31.82,fox-news,"“2019 is almost over. We must make sure that 2020 is the year of action, is the year when we bend the global emissions curve,”"
109,0.0,fox-news,“The Ellen DeGeneres Show”
110,-42.15,fox-news,"“I don’t see what I could tell him that he hasn’t already heard, and I just think it would be a waste of time.”"
111,0.0,fox-news,“How dare you”
112,22.63,fox-news,“my dreams and my childhood with your empty words”
113,0.0,fox-news,“people are dying”
114,0.0,fox-news,“beginning of a mass extinction.”
115,0.0,fox-news,"“the elves will drown,”"
116,0.0,fox-news,“Saturday Night Live's”
117,0.0,fox-news,“Rudolph the Red Nose Reindeer”
118,-40.19,fox-news,"“But if we listen in to some dinner conversations tonight, I bet we’d find out we have more in common than we realize,"" the snowman says. ""And now we can listen because I hacked into three Nest home cams.”"
119,31.82,fox-news,“Could we please talk about politics instead?”
120,65.97,fox-news,"“You mean how Trump is definitely getting impeached and then definitely getting re-elected?"" the dad responds. ""I’m good.”"
121,0.0,fox-news,"“What people? White people?"" Thompson answers. ""If white people tell you I might not vote for Trump this time, you know what that’s called, right? A lie. Nobody was gonna vote for Trump in 2016 either and then guess who did? Everybody. See, now you got me worked up. I need a drink.”"
122,0.0,fox-news,"“What? You said keep it light,”"
123,54.23,fox-news,“So Merry Last Christmas to all.”
124,36.12,fox-news,"“And, Donald Trump – step to me and I’ll come at you like a plastic straw comes to a turtle,”"
125,0.0,fox-news,“I can’t believe I’m saying this to a 70-year-old man but grow up!”
126,0.0,fox-news,“one of the most extraordinary people in American politics.”
127,67.88,fox-news,"“If believing that 500,000 Americans should not be forced into medical bankruptcy every single year is radical, then we’re proud to be radical,”"
128,47.67,fox-news,“we should all be proud to be radicals.”
129,-52.42,fox-news,"“So ridiculous. Greta must work on her Anger Management problem, then go to a good old fashioned movie with a friend! Chill Greta, Chill!”"
130,-29.6,fox-news,"“It is no secret that the president and first lady often communicate differently — as most married couples do,”"
131,0.0,fox-news,"“don’t let anyone dim your light,”"
132,-12.8,fox-news,"“Like the girls I’ve met in Vietnam and all over the world, you have so much to offer us all. Ignore the doubters and know that millions of people are cheering you on.”"
133,0.0,fox-news,“The View”
134,0.0,fox-news,"“Person of the Year,”"
135,26.86,fox-news,"“It's hard for me to talk about Greta Thunberg because she's 16, and I still don't believe in attacking underage people,”"
136,44.49,fox-news,“I’m not going to attack a 16-year-old in the same way I don't agree with attacking Barron Trump.”
137,15.31,fox-news,"“Meghan McCain Wishes She Could ‘Attack’ 16-Year-Old Climate Activist Greta Thunberg,”"
138,16.55,fox-news,"“Not a fan of Ms. McCain, but this headline is wildly misleading,”"
139,0.0,fox-news,“This article is BS.”
140,-47.67,fox-news,“should be ashamed of himself”
141,-58.59,fox-news,“actual malice and reckless disregard for the truth”
142,-69.08,fox-news,"“I have been in an ongoing battle for a long time now with fake news media people that just report blatantly false things about me. It gets old, folks, really old. It’s been personally exhausting,”"
143,-39.19,fox-news,"“It’s not a crybaby snowflake thing, it’s my fight. We all have our own fights, but The Daily Beast, a while back, wrote a story about me,”"
144,0.0,fox-news,“They wrote a story about me that was patently false.”
145,-36.12,fox-news,“I'm embarrassed for him.”
146,0.0,fox-news,“Outnumbered Overtime”
147,-25.0,fox-news,"“To quote [climate activist] Greta Thunberg, I would say to Chuck Schumer, ‘How dare you?' And here is why: He said nothing during the entire time that the House was rejecting any idea that the Republicans would get a chance to hear from key witnesses, whether it was the whistleblower, [ex-FBI investigator] Peter Strzok, [former FBI lawyer] Lisa Page, [former FBI director] James Comey, [onetime CIA Director] John Brennan, go through the whole list, they wouldn’t hear from any of them.”"
148,-62.49,fox-news,"“And now Chuck Schumer, seriously, is demanding that he gets to call witnesses for this sham? I am embarrassed for him.”"
149,40.19,fox-news,"“I can't believe that he would have the audacity to think people will take him seriously, knowing that it is his party that refused to let any witnesses that are truly material witnesses to this process be heard over in the House Judiciary Committee,”"
150,0.0,fox-news,“Outnumbered Overtime”
151,0.0,fox-news,“Not that much. I think he keeps doing what he's doing.”
152,0.0,fox-news,"“is going to produce hundreds of thousands of jobs, if not millions.”"
153,0.0,fox-news,"“the wage increases that everyone has gotten and the fact that women and minorities, Hispanics, blacks, have all had the highest job levels in history.”"
154,57.19,fox-news,"“There are some wonderful stories to tell,”"
155,0.0,fox-news,“Donald Trump has gotten rid of seven regulations for every one that’s been passed. That’s a big part of what makes the economy soar right now. He’s got plenty to talk about.”
156,44.04,fox-news,"“Barron: A Tale of Love, Loss & Legacy”"
157,-64.86,fox-news,"“fearing the devastating impact that his father’s presidency would have on his personal life, his country and the world at large.”"
158,0.0,fox-news,"“A minor child deserves privacy and should be kept out of politics,”"
159,0.0,fox-news,"“What he's reacting to is public polling that shows he can't get renominated,”"
160,0.0,fox-news,“This Week.”
161,0.0,fox-news,“His electorate in his district is 24 percent to renominate him and 60 percent to nominate somebody else.”
162,0.0,fox-news,"“Fox News Sunday,”"
163,-15.31,fox-news,"“You were able to expose him,”"
164,-12.8,fox-news,“I don’t think he’d get the same tough questions that he does when he goes on MSNBC or CNN.”
165,0.0,fox-news,“wrong”
166,0.0,fox-news,“sorry.”
167,-49.27,fox-news,"“Hard to believe that @FoxNews will be interviewing sleazebag & totally discredited former FBI Director James Comey, & also corrupt politician Adam ‘Shifty’ Schiff.”"
168,-34.15,fox-news,“Both Commiecast NBC & Fake News CNN are watching their ratings TANK. Fredo on CNN [his insulting nickname for Chris Cuomo] is dying. Don’t know why @FoxNews wants to be more like them…Only pro Trump Fox shows do well. Rest are nothing. How’s Shep doing?”
169,9.0,fox-news,"“So now Comey’s admitting he was wrong. Wow, but he’s only doing so because he got caught red handed…Where are the apologies to me and others, Jim?”"
170,0.0,fox-news,“pro Trump”
171,0.0,fox-news,"“ridiculous,”"
172,0.0,fox-news,"“always inaccurate,”"
173,0.0,fox-news,“Get a new pollster!”
174,0.0,fox-news,"“stumbles across the finish line,”"
175,-81.76,fox-news,“The problem is that the so-called Commission on Presidential Debates is stacked with Trump Haters & Never Trumpers. 3 years ago they were forced to publicly apologize for modulating my microphone in the first debate against Crooked Hillary.”
176,0.0,fox-news,“directly”
177,0.0,fox-news,“anger management.”
178,-15.31,fox-news,“Nancy’s teeth were falling out of her mouth.”
179,0.0,fox-news,“Cats”
180,0.0,fox-news,“Memory.”
181,0.0,fox-news,“Merry Impeachmas”
182,0.0,fox-news,"“I’m having a quick flashback to the O.J. trial,”"
183,38.18,fox-news,“so many stunning parallels to what Hitler was doing in the early ’30s.”
184,0.0,fox-news,"“I’m not saying Trump is going to slaughter 6 million Jews, but …”"
185,0.0,fox-news,“Trump cult.”
186,0.0,fox-news,“mind control.”
187,0.0,fox-news,“TRUMP URGES UNITY VS. RACISM.”
188,-34.0,fox-news,“feel like their hard work is being sullied by a horrible headline.”
189,-32.91,fox-news,“ASSAILING HATE BUT NOT GUNS.”
190,0.0,fox-news,“ABC World News Tonight”
191,-63.69,fox-news,“effectively abandoning America’s allies in the fight against ISIS.”
192,0.0,fox-news,“Turkey’s military bombing Kurdish civilians in a Syrian border town.”
193,0.0,fox-news,“FAKE footage.”
194,0.0,fox-news,“victims of their own choices.”
195,62.49,fox-news,“Make America Great Again”
196,0.0,fox-news,"“to extort more than $20 million from Nike,”"
197,0.0,fox-news,“Media stares down 'reckoning' after Mueller report underwhelms.”
198,-80.55,fox-news,“This was the single biggest story the US media fixated on for *3 years* & got the crux of it totally & completely wrong in a very damaging way.”
199,-12.8,bbc-news,"""School Strike for Climate."""
200,64.86,bbc-news,"""It felt like I was the only one who cared about the climate and the ecological crisis,"""
201,0.0,bbc-news,"""as far from climate activists as possible"""
202,77.87,bbc-news,"""I remember thinking it was very strange that we were capable of changing the entire face of the Earth and the precious thin layer of atmosphere that makes it our home. Because if we were capable of doing this, then why weren't we hearing about it everywhere?"""
203,31.82,bbc-news,"""For way too long, the politicians and the people in power have gotten away with not doing anything. We will make sure that politicians will not get away with it for any longer."""
204,0.0,bbc-news,"""How dare you,"""
205,-31.82,bbc-news,"""You have stolen my dreams and my childhood with your empty words. We will be watching you."""
206,92.0,bbc-news,"""seems like a very happy young girl looking forward to a bright and wonderful future"""
207,29.6,bbc-news,"""kind but poorly informed teenager"""
208,-62.49,bbc-news,"""pushed, bullied and touched without consent."""
209,0.0,bbc-news,"""abruptly and roughly,"""
210,38.51,bbc-news,"""It's displeasing that young people here to peacefully make the case for strong action on climate change, are being kettled and kicked out of the summit so that the UN climate process can conclude an outcome that will seemingly be weak and doesn't protect their future."""
211,57.19,bbc-news,"""I call on the UN secretary general to intervene here to make sure that youth and citizens around the world can engage and have their voices heard in these negotiations - it's absolutely imperative that he get involved,"""
212,-15.31,bbc-news,"""an unfortunate security incident."""
213,-62.49,bbc-news,"""Frankly, I'm tired of hearing major emitters excuse inaction in cutting their own emissions on the basis they are 'just a fraction' of the world's total,"""
214,73.51,bbc-news,"""The truth is, in a family of nearly 200 nations, collective efforts are key. We all must take responsibility for ourselves, and we all must play our part to achieve net zero. As I like to say, we're all in the same canoe. But currently, that canoe is taking on water with nearly 200 holes -- and there are too few of us trying to patch them,"""
215,-45.76,bbc-news,"""utterly inadequate"""
216,-52.67,bbc-news,"""the point of no return was no longer over the horizon"""
217,22.63,bbc-news,"""We simply have to stop digging and drilling and take advantage of the vast possibilities offered by renewable energy and nature-based solutions,"""
218,74.3,bbc-news,"""COP25 will reaffirm that multilateralism is the best tool to solve global challenges such as climate change,"""
219,-5.72,bbc-news,"""Neither the UN nor the international community have let the climate agenda fall, despite the challenges to organise this event, because this is a vital moment to drive implementation and action. Spain immediately offered to organise the summit in record time. There is no turning back."""
220,0.0,bbc-news,"""Some 70 countries have pledged to become carbon neutral by 2050, this must be carried on at Madrid COP,"""
221,77.17,bbc-news,"""There must be an agreement among us all to do our fair share. If it doesn't happen in Madrid it could be too late for 2020 pledges."""
222,0.0,bbc-news,"""loss"""
223,0.0,bbc-news,"""Damage"""
224,0.0,bbc-news,"""Everybody has to recognise that there is a need and then there must be a funding window,"""
225,-29.6,bbc-news,"""Once you have that, where the funding comes from is secondary, right now there is no fund."""
226,-88.34,bbc-news,"""The climate crisis has been causing death, despair and displacement in the global south,"""
227,-7.72,bbc-news,"""This bullying of the countries hardest hit by climate change, by those that got rich from extracting and consuming fossil fuels, must end now."""
228,0.0,bbc-news,"""double counting"""
229,0.0,bbc-news,"""hot air"""
230,0.0,bbc-news,"""hot air"""
231,0.0,bbc-news,"""We believe that these markets will have an impact but they must result in real reductions on the ground,"""
232,52.67,bbc-news,"""The option is needed and the carbon market is one of the tools - but there needs to be environmental integrity and they need to be transparent and there needs to be real reductions there."""
233,80.2,bbc-news,"""After 30 years of advocacy and optimism, we see COP 25 as the last opportunity to take decisive action,"""
234,91.53,bbc-news,"""Anything short of a vastly greater commitment to emission reduction through new national plans that are consistent with our fight for a 1.5 degree world, greater momentum towards honouring outstanding 2020 climate finance commitments, a new climate finance goal suitable for achieving a 1.5 degree world and tangible support for disaster risk reduction and reconstruction in small island and developing states will signal a willingness to accept catastrophe."""
235,42.01,bbc-news,"""I helped because I wanted to see what Greta was really like, get to know her and be able to educate myself about what she represents,"""
236,72.69,bbc-news,"""In an ideal world, yes, I would have sailed there and sailed back,"""
237,0.0,bbc-news,"""She's not telling anyone how to travel, she's not telling anyone how to live their life."""
238,0.0,bbc-news,"""We spent quite a lot of time together in quite a small space,"""
239,0.0,bbc-news,"""We had most of our meals together. We sat outside together and had lots of conversations. We looked after Lenny the baby together."""
240,58.59,bbc-news,"""We had a couple of nights in a lightning storm which was both amazing and, I suppose, quite scary,"""
241,-20.06,bbc-news,"""I saw a couple of streaks hit the water and spark quite close to the boat so they were quite tense nights although most people are looking out the windows and staring and saying: 'Wow'."""
242,49.39,bbc-news,"""pretty nerve wracking."""
243,27.32,bbc-news,"""I think it takes a certain type of person to cross the Atlantic in the winter - she's obviously very brave,"""
244,76.5,bbc-news,"""I take my hat off to her and her father for joining us. That was a pretty courageous thing to do."""
245,0.0,bbc-news,"""They didn't do it for themselves, they did it to send a message. It felt very selfless."""
246,52.67,bbc-news,"""friendly, quiet and kind"""
247,0.0,bbc-news,"""captivating."""
248,62.49,bbc-news,"""Her passion comes across if you know her as a person as well as if you see her on stage or you see a setting aside parliament on the floor,"""
249,42.15,bbc-news,"""She's so captivating because she genuinely, authentically is true to her message in every way."""
250,0.0,bbc-news,"""culture shock."""
251,-29.6,bbc-news,"""At sea you eat very simple food, you don't drink any alcohol, and you live a very simple life with no choice or showering,"""
252,-38.18,bbc-news,"""Just seeing lots of people was a culture shock. Yesterday when we arrived in the dock, there were thousands and thousands of people."""
253,83.47,bbc-news,"""I'm coming off with four very good friends, which I'm sure we'll keep in contact with forever."""
254,0.0,bbc-news,"""I think we did show that sailing across the Atlantic isn't very practical and that we do need more sustainable options available to the everyday person,"""
255,69.97,bbc-news,"""You can achieve something really remarkable if you're if you're prepared to do that."""
256,-52.67,bbc-news,"""point of no return is no longer over the horizon"""
257,27.32,bbc-news,"""well below"""
258,0.0,bbc-news,"""endeavour to limit"""
259,0.0,bbc-news,"""climate finance"""
260,81.04,bbc-news,"""In the crucial 12 months ahead, it is essential that we secure more ambitious national commitments - particularly from the main emitters - to immediately start reducing greenhouse gas emissions at a pace consistent to reaching carbon neutrality by 2050."""
261,0.0,bbc-news,"""angry"""
262,-51.06,bbc-news,"""People are underestimating the force of angry kids,"""
263,0.0,bbc-news,"""angry"""
264,-75.06,bbc-news,"""If they want us to stop being angry, maybe they should stop making us angry."""
265,77.13,bbc-news,"""So happy to say that I'll hopefully make it to COP25 in Madrid."""
266,44.04,bbc-news,"""creative PR"""
267,-31.82,bbc-news,"""You have stolen my dreams and my childhood with your empty words. We'll be watching you."""
268,90.2,bbc-news,"""Wow, this is unbelievable! I share this great honour with everyone in the #FridaysForFuture movement and climate activists everywhere."""
269,0.0,bbc-news,"""brat"""
270,-55.74,bbc-news,"""Greta said that the Indians died because they were defending the Amazon,"""
271,80.2,bbc-news,"""It's impressive that the press is giving space to a brat like that,"""
272,0.0,bbc-news,"""pirralha"""
273,0.0,bbc-news,"""Pirralha"""
274,29.6,bbc-news,"""kind but poorly informed teenager"""
275,0.0,bbc-news,"""She became the biggest voice on the biggest issue facing the planet this year, coming from essentially nowhere to lead a worldwide movement."""
276,44.04,bbc-news,"""for better or for worse... has done the most to influence the events of the year"""
277,0.0,bbc-news,"""The Guardians"""
278,-29.6,bbc-news,"""to negotiate loopholes and to avoid raising their ambition"""
279,61.24,bbc-news,"""The real danger is when politicians and CEOs are making it look like real action is happening when, in fact, almost nothing is being done apart from clever accounting and creative PR,"""
280,0.0,bbc-news,"""In just three weeks we'll enter a new decade, a decade that will define our future,"""
281,-31.82,bbc-news,"""Right now, we're desperate for any sign of hope."""
282,0.0,bbc-news,"""Greta effect"""
283,0.0,bbc-news,"""man on the Moon moment"""
284,-20.23,bbc-news,"""onto an irreversible path to climate neutrality"""
285,0.0,bbc-news,"""farm to fork"""
286,0.0,bbc-news,"""too small, too few and too far off"""
287,-5.16,bbc-news,"""We're on a runaway train to ecological and climate collapse and the EU Commission is gently switching gears instead of slamming on the brakes."""
288,20.23,bbc-news,"""playing politics"""
289,-22.63,bbc-news,"""The problem is while hundreds of thousands of people are marching outside in Madrid, and school children are striking, countries are playing politics with the negotiations,"""
290,0.0,bbc-news,"""We need ministers to arrive this week and make some real progress."""
291,80.74,bbc-news,"""The Paris agreement is clear: all countries agreed to deliver new climate targets by 2020, and as the recent UNEP emissions gap report made clear, the onus is on the top 10 polluters to deliver,"""
292,27.32,bbc-news,"""I know leaders in Brussels, Delhi, Beijing, Tokyo and Ottawa care about global action, but we need them to deliver this week. We need their leadership to deliver on their Paris commitments."""
293,0.0,bbc-news,"""What happens in Brussels will resonate in Madrid,"""
294,0.0,bbc-news,"""inspirational"""
295,20.23,bbc-news,"""urgent message"""
296,93.37,bbc-news,"""The Boy, the Mole, the Fox and the Horse is a wise and beautiful tale calling for love, friendship and courage,"""
297,52.67,bbc-news,"""Greta Thunberg's speeches have been an inspiration to millions... Both choices are testament to the extraordinary power of books to move and shape us."""
298,27.32,bbc-news,"""how strongly the titles resonated with our booksellers and customers"""
299,50.95,bbc-news,"""the climate movement does not need any more awards"""
300,42.15,bbc-news,"""And we [in the aviation industry] aren't doing ourselves any favours by chucking billions of tons of carbon into the air. It's got to be dealt with,"""
301,-12.8,bbc-news,"""I'm not condoning some of their methods. But Extinction Rebellion and Greta have a role to play... We really need this kind of thing to force us to make decisions."""
302,-22.47,bbc-news,"""But the industry has been a very bad articulator of the good things we've done."""
303,-42.01,bbc-news,"""more difficult than you'd imagine"""
304,-16.95,bbc-news,"""Aircraft don't fly in a straight line. Even in Europe we have to make too many dog-legs,"""
305,-27.32,bbc-news,"""low hanging fruit"""
306,40.19,bbc-news,"""We are trying every trick in the book to improve things,"""
307,0.0,bbc-news,"""flight shamers"""
308,-29.6,bbc-news,"""We are no longer dragging our feet,"""
309,0.0,bbc-news,"""The change we need is not going to come from people in power,"""
310,-22.63,bbc-news,"""The change is going to come from the people, the masses, demanding change."""
311,0.0,bbc-news,"""This fall, Canadians went to the polls. And they returned a minority Parliament to Ottawa,"""
312,0.0,bbc-news,"""This is the will of the people, and you have been chosen to act on it. And so we open this 43rd Parliament with a call for unity in the pursuit of common goals and aspirations."""
313,63.69,bbc-news,"""Canadians have spoken clearly about the importance of their regions and their local needs,"""
314,64.86,bbc-news,"""all but the wealthiest"""
315,0.0,bbc-news,"""defining issue of the generation"""
316,26.17,bbc-news,"""This goal is ambitious, but necessary,"""
317,-29.6,bbc-news,"""Pharmacare is the key missing piece in universal healthcare in this country,"""
318,0.0,bbc-news,"""indigenous genius"""
319,0.0,bbc-news,"""The path to reconciliation is long. But in its actions and interactions, the government will continue to walk it with indigenous and Metis peoples,"""
